size1,size2,size3,ndim,dim1,dim2,dim3,runtime
2400,100,100,3,4,3,2,1.90
2400,100,100,3,4,2,3,1.93
2400,100,100,3,3,2,4,1.71
2400,100,100,3,3,4,2,1.65
2400,100,100,3,2,3,4,1.97
2400,100,100,3,2,4,3,1.94
2400,100,100,3,6,2,2,1.64
2400,100,100,3,2,6,2,1.88
2400,100,100,3,2,2,6,1.99
1200,200,100,3,4,3,2,1.88
1200,200,100,3,4,2,3,1.93
1200,200,100,3,3,2,4,1.70
1200,200,100,3,3,4,2,1.64
1200,200,100,3,2,3,4,1.93
1200,200,100,3,2,4,3,1.93
1200,200,100,3,6,2,2,1.65
1200,200,100,3,2,6,2,1.90
1200,200,100,3,2,2,6,1.97
800,300,100,3,4,3,2,1.61
800,300,100,3,4,2,3,1.92
800,300,100,3,3,2,4,1.89
800,300,100,3,3,4,2,1.87
800,300,100,3,2,3,4,1.70
800,300,100,3,2,4,3,1.93
800,300,100,3,6,2,2,4.25
800,300,100,3,2,6,2,1.65
800,300,100,3,2,2,6,1.98
2400,100,100,1,24,0,0,1.61
1200,200,100,1,24,0,0,1.60
800,300,100,1,24,0,0,52.44
2400,100,100,2,3,8,0,1.90
2400,100,100,2,8,3,0,1.87
2400,100,100,2,6,4,0,1.61
2400,100,100,2,4,6,0,1.88
2400,100,100,2,12,2,0,1.61
2400,100,100,2,2,12,0,1.99
1200,200,100,2,3,8,0,1.62
1200,200,100,2,8,3,0,1.84
1200,200,100,2,6,4,0,1.61
1200,200,100,2,4,6,0,1.86
1200,200,100,2,12,2,0,1.61
1200,200,100,2,2,12,0,1.86
800,300,100,2,3,8,0,2.83
800,300,100,2,8,3,0,1.60
800,300,100,2,6,4,0,6.09
800,300,100,2,4,6,0,1.61
800,300,100,2,12,2,0,12.82
800,300,100,2,2,12,0,1.61
