#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER mlx  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.26,bandwith:6464.31
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.26,0,0.26,72.31
1,100,0.25,4.04,0.26,74.07
2,100,0.27,7.53,0.26,75.83
4,100,0.24,16.54,0.26,79.34
8,100,0.25,32.53,0.26,86.37
16,100,0.24,66.27,0.26,100.44
32,100,0.28,113.99,0.26,128.55
64,100,0.28,229.16,0.27,184.7
128,100,0.35,365.72,0.28,296.42
256,100,0.4,646.28,0.3,515.93
512,100,0.49,1051.16,0.34,926.92
1024,100,0.62,1663.41,0.42,1603.71
2048,100,0.82,2483.09,0.58,2470.5
4096,100,1.24,3300.15,0.89,3110.95
8192,100,2.21,3711.87,1.53,3800.07
16384,100,4.24,3866.24,2.79,4718.71
32768,100,5.52,5937.89,5.33,5367.23
65536,100,10.74,6104.16,10.4,5717.1
131072,100,21.86,5996.24,20.54,6228.46
262144,100,39.36,6659.32,40.81,6721.36
524288,100,74.35,7052,81.37,7022.21
1048576,98,141.37,7417,162.47,7429.68
2097152,98,272.03,7709.23,324.69,7787.73
4194304,96,548.08,7652.73,649.11,7741.75
8388608,94,1074.68,7805.69,1297.96,7542.39
16777216,88,2212.61,7582.55,2595.67,7263.23
33554432,80,5156.34,6507.41,5191.07,6966.69
67108864,66,10416.51,6442.55,10381.88,6578.58
134217728,50,20751.41,6467.88,20763.51,6225.45
268435456,32,41561.49,6458.75,41526.75,6514.68
