#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:1.76,bandwith:3986.22
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1.76,0,1.76,36.94
1,100,1.78,0.56,1.76,37.22
2,100,1.75,1.14,1.76,37.51
4,100,1.8,2.23,1.76,38.07
8,100,1.74,4.6,1.76,39.2
16,100,1.61,9.96,1.76,41.46
32,100,1.61,19.85,1.77,45.98
64,100,1.69,37.95,1.78,55.02
128,100,1.89,67.62,1.79,73.09
256,100,2.04,125.6,1.82,109.22
512,100,2.05,249.94,1.89,181.59
1024,100,2.15,476.85,2.02,326.95
2048,100,2.49,820.91,2.27,617.66
4096,100,3.67,1117.13,2.79,1177.1
8192,100,4.35,1882.45,3.82,2117.61
16384,100,5.37,3048.97,5.87,3349.54
32768,100,8.12,4036.05,9.98,4137.12
65536,100,12.5,5243.42,18.2,4399.85
131072,100,27.77,4720.52,34.64,4761.86
262144,100,54.36,4822.77,67.52,5037.47
524288,100,106,4946.23,133.28,5034.1
1048576,98,213.52,4910.94,264.81,4995.72
2097152,98,426.63,4915.63,527.86,4943.1
4194304,96,846.53,4954.68,1053.96,4880.53
8388608,94,1716.74,4886.35,2106.15,4776.18
16777216,88,3425.23,4898.12,4210.55,4612.35
33554432,80,8385.85,4001.32,8419.34,4389.96
67108864,66,16859.19,3980.55,16836.92,4075.19
134217728,50,33730.66,3979.1,33672.07,3789.69
268435456,32,67377.27,3984.07,67342.39,4028.22
