#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS ofi -env I_MPI_OFI_PROVIDER shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB_intel-gcc -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:2.92,bandwith:4486.65
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,2.92,0,2.92,-2.87
1,100,2.7,0.37,2.92,-2.54
2,100,2.87,0.7,2.92,-2.22
4,100,2.93,1.37,2.92,-1.57
8,100,2.74,2.92,2.92,-0.27
16,100,2.75,5.82,2.92,2.32
32,100,3.14,10.18,2.93,7.51
64,100,2.5,25.56,2.93,17.88
128,100,2.39,53.46,2.95,38.61
256,100,2.04,125.49,2.98,80.05
512,100,2.55,200.4,3.03,163.4
1024,100,2.78,368.77,3.15,333.32
2048,100,2.71,756.95,3.38,681.22
4096,100,3.09,1324.57,3.83,1366.8
8192,100,3.67,2232.62,4.75,2517.39
16384,100,4.69,3489.77,6.57,3988.11
32768,100,6.15,5324.41,10.22,4790.45
65536,100,13,5040.68,17.53,4768.9
131072,100,28.71,4565.07,32.13,4730.82
262144,100,56.52,4638.41,61.35,4697.71
524288,100,111.5,4702.23,119.77,4685.7
1048576,98,226.44,4630.69,236.63,4669.85
2097152,98,450.78,4652.29,470.33,4651.8
4194304,96,900.24,4659.08,937.75,4639.11
8388608,94,1803.17,4652.14,1872.57,4621.1
16777216,88,3639.64,4609.58,3742.23,4595.34
33554432,80,7409.9,4528.32,7481.53,4566.35
67108864,66,14886.73,4507.97,14960.15,4526.2
134217728,50,29761.52,4509.77,29917.37,4483.02
268435456,32,59946.44,4477.92,59831.82,4483.99
