#header_line_1: mpirun -np 2  -env I_MPI_DEBUG 5 -env I_MPI_FABRICS shm  -genv I_MPI_PIN_PROCESSOR_LIST 0,i  ./IMB_intel-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1 
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:1.12,bandwith:4331.97
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1.12,0,1.12,18.97
1,100,1.29,0.77,1.12,20.3
2,100,0.41,4.9,1.12,21.63
4,100,0.42,9.54,1.12,24.29
8,100,0.42,18.94,1.12,29.62
16,100,0.42,38.53,1.12,40.27
32,100,0.46,68.91,1.13,61.57
64,100,0.46,139.86,1.13,104.26
128,100,0.59,215.19,1.15,190.04
256,100,0.62,414.17,1.18,361.43
512,100,0.79,645.53,1.24,689.05
1024,100,0.87,1180.44,1.36,1241.54
2048,100,1.07,1918.33,1.59,1996.64
4096,100,1.44,2850.47,2.07,2710.22
8192,100,2.14,3822.73,3.01,3623.5
16384,100,3.72,4408.63,4.9,4797.85
32768,100,6.01,5448.29,8.68,5465.44
65536,100,11.24,5831.85,16.25,5512.25
131072,100,23.52,5573.32,31.38,5564.48
262144,100,48.24,5434.07,61.63,5572.86
524288,100,95.1,5512.79,122.15,5478.07
1048576,98,199.13,5265.89,243.17,5320.37
2097152,98,403.96,5191.53,485.23,5130.69
4194304,96,844.61,4965.99,969.34,4971.71
8388608,94,1784.3,4701.34,1937.56,4750.85
16777216,88,3642.19,4606.36,3874,4499.19
33554432,80,7784.41,4310.46,7746.88,4389.3
67108864,66,15584.88,4306.02,15492.64,4324.57
134217728,50,31172.31,4305.67,30984.15,4271.79
268435456,32,61867.46,4338.88,61967.19,4346.65
