#header_line_1: mpirun -np 2 --mca pml ob1 --report-bindings -map-by core  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.3,bandwith:4535.36
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.3,0,0.3,13.22
1,100,0.28,3.58,0.3,16.33
2,100,0.28,7.12,0.3,19.44
4,100,0.28,14.36,0.3,25.68
8,100,0.28,28.66,0.3,38.19
16,100,0.29,54.42,0.3,63.32
32,100,0.3,107.96,0.31,113.42
64,100,0.32,198.6,0.31,208.29
128,100,0.38,340.95,0.33,368.33
256,100,0.45,574.02,0.36,592.73
512,100,0.61,833.66,0.41,853.24
1024,100,0.69,1475.69,0.53,1266.67
2048,100,0.87,2364.49,0.75,1884
4096,100,1.91,2144.53,1.2,2627.68
8192,100,2.34,3497.97,2.11,3694.28
16384,100,3.34,4907.4,3.91,5026.3
32768,100,5.44,6025.89,7.52,5631.27
65536,100,12.37,5297.3,14.75,5316.85
131072,100,28.39,4617.36,29.2,4873.13
262144,100,57.05,4594.87,58.1,4545.78
524288,100,111.19,4715.26,115.9,4579.65
1048576,98,224.87,4663.05,231.5,4665.04
2097152,98,447.37,4687.77,462.7,4738.33
4194304,96,890.52,4709.94,925.1,4723.02
8388608,94,1787.17,4693.78,1849.89,4673.81
16777216,88,3610.25,4647.11,3699.49,4614.92
33554432,80,7382.01,4545.43,7398.67,4579.71
67108864,66,14805.91,4532.57,14797.04,4547.03
134217728,50,29580.97,4537.3,29593.79,4516.77
268435456,32,59201.78,4534.25,59187.27,4538.86
