#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by core  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.19,bandwith:6504.61
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.19,0,0.19,55.34
1,100,0.2,5.06,0.19,57.88
2,100,0.19,10.37,0.19,60.41
4,100,0.2,20.22,0.19,65.48
8,100,0.19,41.91,0.19,75.63
16,100,0.2,81.02,0.19,95.97
32,100,0.22,142.45,0.19,136.54
64,100,0.23,281.88,0.2,215.3
128,100,0.31,418.83,0.21,359.79
256,100,0.32,797.82,0.23,605.42
512,100,0.61,840.85,0.27,996.68
1024,100,0.55,1868.61,0.35,1629.24
2048,100,0.93,2198.23,0.5,2456.04
4096,100,1.26,3258.33,0.82,3121.27
8192,100,2.1,3905.65,1.45,3885.65
16384,100,3.47,4723.42,2.71,4879.83
32768,100,5.67,5774.52,5.23,5489.54
65536,100,11.62,5642.32,10.27,5645.69
131072,100,24.38,5375.71,20.34,5894.1
262144,100,41.85,6263.79,40.49,6221.18
524288,100,74.59,7028.94,80.79,6625.4
1048576,98,143.88,7287.88,161.39,7210.38
2097152,98,279.84,7494.11,322.6,7735.12
4194304,96,549.75,7629.51,645.01,7707.27
8388608,94,1098.87,7633.85,1289.83,7492.3
16777216,88,2220.87,7554.34,2579.47,7205.33
33554432,80,5135.93,6533.27,5158.74,6938.74
67108864,66,10307.38,6510.76,10317.29,6608.41
134217728,50,20659.49,6496.66,20634.39,6306.19
268435456,32,41291.66,6500.96,41268.6,6545.15
