#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by node  --mca btl tcp,self --mca btl_ br0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:1,bandwith:12202
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,1,0,1,29.34
1,100,1,1,1,29.86
2,100,1,1.99,1,30.39
4,100,1,4.02,1,31.44
8,100,0.99,8.12,1,33.54
16,100,0.99,16.19,1,37.74
32,100,1.02,31.28,1,46.14
64,100,1.19,53.62,1.01,62.98
128,100,1.21,105.46,1.01,96.76
256,100,1.46,174.92,1.02,164.15
512,100,1.52,337.83,1.04,293.1
1024,100,1.74,589.51,1.08,512.86
2048,100,2.41,848.67,1.17,822.8
4096,100,3.44,1190.4,1.34,1148.49
8192,100,5.04,1624.82,1.67,1616.34
16384,100,7.11,2305.75,2.34,2333.83
32768,100,9.55,3430.94,3.69,3191.48
65536,100,14.79,4431.74,6.37,4332.36
131072,100,26.07,5028.46,11.74,6018.72
262144,100,32.54,8056.68,22.48,7673.97
524288,100,58.13,9018.48,43.97,8759
1048576,98,98.84,10608.72,86.93,10272.3
2097152,98,182.26,11506.09,172.87,11731.64
4194304,96,354.18,11842.42,344.74,12014.58
8388608,94,694.61,12076.74,688.47,12074.03
16777216,88,1375.37,12198.36,1375.94,12143.37
33554432,80,2751.8,12193.63,2750.88,12178.98
67108864,66,5494.25,12214.39,5500.76,12206.16
134217728,50,10992.88,12209.51,11000.53,12227.86
268435456,32,22004.92,12198.89,22000.05,12194.44
