#header_line_1: mpirun -np 2 --mca pml ucx --report-bindings -map-by socket  --mca btl vader,self --mca btl_ ib0 ./IMB_gnu-gcc PingPong -msglog 28 -iter 100 -iter_policy multiple_np -off_cache -1  
#header_line_2: ct1pt-tnode008.hpc,ct1pt-tnode009.hpc
#header_line_3: latency:0.48,bandwith:5685.8
"bytes","repetitions","t[usec]","Mbytes/sec","t[usec],(estimated)","Mbytes/sec,(estimated)"
0,100,0.48,0,0.48,75.59
1,100,0.41,2.44,0.48,76.2
2,100,0.77,2.59,0.48,76.82
4,100,0.41,9.77,0.48,78.06
8,100,0.4,20.11,0.48,80.53
16,100,0.41,38.76,0.48,85.48
32,100,0.56,56.96,0.49,95.37
64,100,0.57,111.67,0.49,115.19
128,100,0.91,141.27,0.5,155.03
256,100,0.94,271.46,0.53,234.59
512,100,1.22,418.11,0.57,385.97
1024,100,1.32,773.84,0.66,636.5
2048,100,2.17,941.62,0.84,960.54
4096,100,3.05,1341.13,1.2,1212.36
8192,100,4.64,1766.69,1.92,1511.28
16384,100,6.97,2349.01,3.36,1979.34
32768,100,11.44,2865.34,6.24,2570.64
65536,100,21.72,3018,12.01,3397.58
131072,100,46.21,2836.61,23.53,4640.15
262144,100,39.65,6611.57,46.59,5935.07
524288,100,66.16,7925.13,92.69,6952.62
1048576,98,119.85,8748.81,184.9,8374.12
2097152,98,233.83,8968.54,369.32,9642.09
4194304,96,452.62,9266.65,738.16,9547.81
8388608,94,909.84,9219.9,1475.84,8969
16777216,88,1825.53,9190.32,2951.21,8156.67
33554432,80,5320.45,6306.69,5901.94,7288
67108864,66,11759.51,5706.77,11803.39,6142.29
134217728,50,23669.48,5670.5,23606.31,5071.51
268435456,32,47358.07,5668.21,47212.14,5802.07
