mpi implementation,library-compiler,map,network,pml(opempi)/fabric(intel),btl(openmpi)/ofi(intel),bandwidth,latency
openmpi,gnu-gcc,node,br0,ob1,tcp,2502.09,15.78
openmpi,gnu-gcc,node,br0,ucx,tcp,12202,1
openmpi,gnu-gcc,node,ib0,ob1,tcp,2227.25,16.94
openmpi,gnu-gcc,node,ib0,ucx,tcp,12199.8,1
openmpi,gnu-gcc,core,br0,ob1,tcp,5244.72,6
openmpi,gnu-gcc,core,br0,ucx,tcp,6505.02,0.19
openmpi,gnu-gcc,core,br0,ucx,vader,6509.86,0.24
openmpi,gnu-gcc,core,ib0,ob1,tcp,5266.84,6.22
openmpi,gnu-gcc,core,ib0,ob1,vader,4535.36,0.3
openmpi,gnu-gcc,core,ib0,ucx,tcp,6512.49,0.19
openmpi,gnu-gcc,core,ib0,ucx,vader,6504.61,0.19
openmpi,gnu-gcc,socket,br0,ob1,tcp,3335.01,9.36
openmpi,gnu-gcc,socket,br0,ucx,tcp,5682.41,0.42
openmpi,gnu-gcc,socket,br0,ucx,vader,5721.95,0.44
openmpi,gnu-gcc,socket,ib0,ob1,tcp,3325.22,8.87
openmpi,gnu-gcc,socket,ib0,ob1,vader,3954.65,0.51
openmpi,gnu-gcc,socket,ib0,ucx,tcp,5682.88,0.42
openmpi,gnu-gcc,socket,ib0,ucx,vader,5685.8,0.48
intelmpi,intel,contiguos,none,shm,none,4331.97,1.12
intelmpi,intel,contiguos,none,ofi,shm,3986.22,1.76
intelmpi,intel,contiguos,br0,ofi,sockets,3292.7,9.50
intelmpi,intel,contiguos,br0,ofi,tcp,3324.43,9.51
intelmpi,intel,contiguos,ib0,ofi,mlx,5693.21,0.49
intelmpi,intel,socket,none,shm,none,5587.04,0.78
intelmpi,intel,socket,none,ofi,shm,4486.65,2.92
intelmpi,intel,socket,br0,ofi,sockets,5284.76,6.62
intelmpi,intel,socket,br0,ofi,tcp,5325.83,5.44
intelmpi,intel,socket,ib0,ofi,mlx,6464.31,0.26
