omp,mpi,time
1,1,40.42
1,2,30.23
1,3,31.13
1,4,25.47
1,5,26.08
1,6,26.22
1,7,26.47
1,8,23.47
1,9,23.35
1,10,24.52
1,11,23.35
1,12,24.60
1,13,23.33
1,14,23.43
1,15,23.42
1,16,22.28
1,17,22.42
1,18,22.48
1,19,22.66
1,20,22.51
1,21,22.59
1,22,22.67
1,23,22.66
1,24,22.72
2,1,31.86
2,2,26.20
2,3,27.29
2,4,23.83
2,5,24.07
2,6,24.12
2,7,24.32
2,8,22.56
2,9,22.73
2,10,22.57
2,11,25.09
2,12,22.81
3,1,23.89
3,2,22.55
3,3,27.97
3,4,21.74
3,5,22.11
3,6,22.17
3,7,22.30
3,8,21.48
4,1,22.02
4,2,28.17
4,3,25.94
4,4,21.24
4,5,21.55
4,6,24.09
5,1,20.06
5,2,25.92
5,3,21.26
5,4,24.08
6,1,18.36
6,2,24.68
6,3,20.48
6,4,23.70
7,1,17.49
7,2,19.83
7,3,24.36
8,1,16.29
8,2,19.84
8,3,20.20
9,1,15.60
9,2,23.23
10,1,15.26
10,2,22.70
11,1,15.68
11,2,22.54
12,1,14.72
12,2,21.88
13,1,15.42
14,1,15.76
15,1,15.18
16,1,15.57
17,1,15.04
18,1,15.11
19,1,15.18
20,1,14.77
21,1,15.70
22,1,14.73
23,1,14.97
24,1,14.52
